1 easy (tadepalli)
240  300  000 
000  520  407
000  046  008
610  700  084
009  060  500 
730  005  061 
100  470  000 
302  051  000 
000  002  019

2 medium (tadepalli)
003  010  008
000  400  030 
870  003  020 
010  009  605 
300  867  002
906  500  040 
020  900  074 
090  006  000 
500  070  100 

3 hard (tadepalli)
170  000  006
006  090  040
300  070  000 
000  900  030  
094  020  870 
030  005  000 
000  060  001
080  010  500 
500  000  082 

4 evil (tadepalli)
000  006  009
090  300  108 
076  000  402 
000  800  005
000  502  000 
900  003  000 
409  000  830 
605  004  090 
700  100  000 
       
5 easy (ventura/silva)
002 507 310
080 000 060
000 003 208
004 302 081
801 090 703
730 804 500
409 200 000
060 000 050
013 906 800

6 easy (ventura/silva)
012 800 060
900 326 741
000 070 200
070 080 000
503 102 804
000 030 010
009 050 000
154 297 003
030 008 490

7 easy (ventura/silva)        
060 007 000
508 006 027
207 800 030
192 000 300
085 000 960
006 000 278
020 004 506
470 600 102
000 100 040

8 medium (ventura/silva)
020 004 000
003 000 204
140 080 503
030 802 000
200 000 006
000 409 050
402 070 081
807 000 600
000 600 070

9 Evil (Wei Wu/Wei Zhang)
400 003 106
006 150 007
000 000 000
020 308 591
009 000 300
315 209 060
000 000 000
500 036 700
904 500 008

10 medium (ventura/silva)
800 300 600
503 890 400
060 070 030
008 740 000
010 000 070
000 039 100
050 080 090
004 062 801
009 003 006

11 hard (ventura/silva)
002 090 600
609 000 000
480 006 000
008 402 090
300 000 007
070 309 100
000 600 051
000 000 204
007 080 300

12 hard (ventura/silva)
490 003 800
605 020 000
000 007 600
500 800 000
083 601 790
000 009 008
002 900 000
000 080 305
004 300 089

13 hard (ventura/silva)
100 852 000
620 700 000
003 000 200
016 020 000
800 000 001
000 080 740
001 000 600
000 009 028
000 648 005

14 evil (ventura/silva)
200 006 050
300 090 002
001 000 000
560 200 400
000 603 000
007 005 028
000 000 800
700 010 003
040 800 009

15 evil (ventura/silva)
040 500 000
500 010 080
001 800 400
087 000 300
010 203 060
004 000 750
002 007 600
